,date,region,state,anom_fevers,anomaly_diff
0,2020-03-02,01001,AL,0.0,0.0
1,2020-03-02,01003,AL,0.0,0.0
2,2020-03-02,01005,AL,0.0,0.0
3,2020-03-02,01007,AL,0.0,0.0
4,2020-03-02,01009,AL,0.0,0.0
5,2020-03-02,01011,AL,0.0,0.0
6,2020-03-02,01013,AL,0.0,0.0
7,2020-03-02,01015,AL,0.0,0.0
8,2020-03-02,01017,AL,0.0,0.0
9,2020-03-02,01019,AL,0.0,0.0
10,2020-03-02,01021,AL,0.0,0.0
11,2020-03-02,01023,AL,0.0,0.0
12,2020-03-02,01025,AL,0.0,0.0
13,2020-03-02,01027,AL,0.0,0.0
14,2020-03-02,01029,AL,0.0,0.0
15,2020-03-02,01031,AL,0.0,0.0
16,2020-03-02,01033,AL,0.0,0.0
17,2020-03-02,01035,AL,0.0,0.0
18,2020-03-02,01037,AL,0.0,0.0
19,2020-03-02,01039,AL,0.0,0.0
20,2020-03-02,01041,AL,0.0,0.0
21,2020-03-02,01043,AL,0.0,0.0
22,2020-03-02,01045,AL,0.0,0.0
23,2020-03-02,01047,AL,0.0,0.0
24,2020-03-02,01049,AL,0.0,0.0
25,2020-03-02,01051,AL,0.0,0.0
26,2020-03-02,01053,AL,0.0,0.0
27,2020-03-02,01055,AL,0.0,0.0
28,2020-03-02,01057,AL,0.0,0.0
29,2020-03-02,01059,AL,0.0,0.0
30,2020-03-02,01061,AL,0.0,0.0
31,2020-03-02,01063,AL,0.0,0.0
32,2020-03-02,01065,AL,0.0,0.0
33,2020-03-02,01067,AL,0.0,0.0
34,2020-03-02,01069,AL,0.0,0.0
35,2020-03-02,01071,AL,0.0,0.0
36,2020-03-02,01073,AL,0.0,0.0
37,2020-03-02,01075,AL,0.0,0.0
38,2020-03-02,01077,AL,0.0,0.0
39,2020-03-02,01079,AL,0.0,0.0
40,2020-03-02,01081,AL,0.0,0.0
41,2020-03-02,01083,AL,0.0,0.0
42,2020-03-02,01085,AL,0.0,0.0
43,2020-03-02,01087,AL,0.0,0.0
44,2020-03-02,01089,AL,0.0,0.0
45,2020-03-02,01091,AL,0.0,0.0
46,2020-03-02,01093,AL,0.0,0.0
47,2020-03-02,01095,AL,0.0,0.0
48,2020-03-02,01097,AL,0.0,0.0
49,2020-03-02,01099,AL,0.0,0.0
50,2020-03-02,01101,AL,0.0,0.0
51,2020-03-02,01103,AL,0.0,0.0
52,2020-03-02,01105,AL,0.0,0.0
53,2020-03-02,01107,AL,0.0,0.0
54,2020-03-02,01109,AL,0.0,0.0
55,2020-03-02,01111,AL,0.0,0.0
56,2020-03-02,01113,AL,0.0,0.0
57,2020-03-02,01115,AL,0.0,0.0
58,2020-03-02,01117,AL,0.0,0.0
59,2020-03-02,01119,AL,0.0,0.0
60,2020-03-02,01121,AL,0.0,0.0
61,2020-03-02,01123,AL,0.0,0.0
62,2020-03-02,01125,AL,0.0,0.0
63,2020-03-02,01127,AL,0.0,0.0
64,2020-03-02,01129,AL,0.0,0.0
